firm_name,county,city,website,contact_name,contact_email,email_status,practice_areas,notes
Alpine Law,Yellowstone,Billings,https://www.alpinelawmt.com/,Joe Zavatsky,,needs_research,"Criminal defense, DUI, felony","Former managing attorneys at Yellowstone County Public Defender"
Woodward Law Firm PLLC,Yellowstone,Billings,https://www.woodwardlaw-mt.com/,Cammi J. Woodward,,needs_research,"Criminal defense, family law, drug crimes","Practicing since 1979"
Lance Lundvall Law Office,Yellowstone,Billings,https://lancelundvall.com/,Lance Lundvall,,needs_research,"Criminal defense, DUI, family law",Solo practitioner since 2008
Trailhead Law PLLC,Yellowstone,Billings,https://www.trailheadlaw.com/,Nicholas Levi Owens,,needs_research,"DUI, criminal defense, litigation","14 years licensed"
Ramsey Law PLLC,Yellowstone,Billings,https://www.ramlawmt.com/,Clark R. Ramsey,,needs_research,"Criminal law, fish & game","Hunting/fishing case specialist"
Finn Law PLLC,Yellowstone,Billings,https://www.bradleyjfinnattorneyatlaw.com/,Bradley J. Finn,,needs_research,"Personal injury, criminal defense, DUI",Trial experience
Frontier Law Firm,Yellowstone,Billings,https://frontierlawfirm.com/,Fred Snodgrass,,needs_research,Misdemeanor criminal defense,Refers to Fred Law Firm
K.D. Berst Law Firm,Yellowstone,Billings,https://www.berstlawfirm.com/,K.D. Berst,,needs_research,"Family law, criminal defense, mediation",
Stevenson Law Office / Big Sky Law,Missoula,Missoula,https://bigskylegal.com/,Mat Stevenson,,needs_research,"Criminal defense, DUI, felony","2002, statewide practice"
Holloway & Hulling PLLC,Missoula,Missoula,https://montanalawyers.net/,Nathan Hulling,,needs_research,"Criminal defense, personal injury, family law","Voted Best Attorney 2026"
Judnich Sherwood & Associates,Missoula,Missoula,https://www.jslawmt.com/,,,needs_research,"Criminal, DUI, family, PI","Statewide, 56 counties, 3 offices"
Stephens Brooke PC,Missoula,Missoula,https://www.stephensbrooke.com/,,,needs_research,Criminal defense,"State + Federal"
Shandor S Badaruddin PC,Missoula,Missoula,https://montanacriminallawyer.net/,Shandor Badaruddin,,needs_research,"Criminal defense, personal injury",
Ryan Miller & Coburn,Missoula,Missoula,https://www.rmcattorneys.com/,,,needs_research,"Personal injury, criminal defense",
Tipp Coburn Lockwood PC,Missoula,Missoula,https://tippcoburn.com/,,,needs_research,Criminal defense,"Founded 1959, 7500+ clients"
Maldonado Law PLLC,Missoula,Missoula,https://bigskydefender.com/,,,needs_research,"Criminal defense, DUI, expungement","Statewide, MT Assn of Criminal Defense Lawyers"
Schulte Law Firm PC,Missoula,Missoula,https://jschultelaw.com/,,,needs_research,"Personal injury, criminal defense",
Johnson Law PLLC,Gallatin,Bozeman,https://johnsonlawmt.com/,,,needs_research,"Criminal, DUI, assault, drug","Former prosecutor"
McKenzie Law PLLC,Gallatin,Bozeman,https://www.mckenzielawpllc.com/,Wes McKenzie,,needs_research,"Criminal, DUI, drug, weapons","Belgrade-based, serves Bozeman"
Medearis Law Firm PLLC,Gallatin,Bozeman,https://www.medearislawfirm.com/,,,needs_research,"Criminal defense, DUI, MIP","Bozeman, Belgrade, statewide"
Saddle Peak Law,Gallatin,Bozeman,https://saddlepeaklaw.com/,,info@saddlepeaklaw.com,found_via_website,"DUI, criminal defense","Certified SFST, flat-fee pricing"
Watson Law Office PC,Gallatin,Bozeman,https://www.montanacriminallawyer.com/,Herman Watson,herman@watlawoffice.com,found_via_website,"Criminal, DUI, civil","Family-operated since 1992"
