priority,brand,parent_group,market,county_focus,phone,email_or_public_contact,website_url,offer_url,offer_type,pitch_angle,source_url,status,next_action
P1,AAA Bail Bonds,aaa_bail_bonds,Missoula,Missoula,(406) 549-2245,,https://www.aaabailbondsmissoulamontana.com/about-aaa-bail-bonds/,/bondsman/felony-alerts?county=missoula&source=outbound_aaa_missoula,county_alert_trial,Missoula speed-to-lead trial first; expand to county sponsorship only after reply,https://www.aaabailbondsmissoulamontana.com/about-aaa-bail-bonds/,not_contacted,Call desk and send county-specific follow-up
P1,Your Bondsman,your_bondsman,Missoula,Missoula,(406) 721-0199,yourbondsman@gmail.com,https://www.yourbondsmanmontana.com/,/bondsman/felony-alerts?county=missoula&source=outbound_yourbondsman_missoula,county_alert_trial,Independent Missoula operator with public email; good candidate for fast pilot close,https://www.yourbondsmanmontana.com/t/tou-and-privacy,not_contacted,Call then email same day
P1,EZ Bail Bonds,ez_bail_bonds,Great Falls,Cascade,(406) 453-7974,,https://www.ezbailbondsmt.com/,/bondsman/felony-alerts?county=cascade&source=outbound_ez_cascade,county_alert_trial,Local Great Falls angle is strongest with Cascade trial before any broader ad package,https://www.ezbailbondsmt.com/contact-us,not_contacted,Call and offer 7-day Cascade trial
P1,Central Montana Bail Bonds,central_montana_network,Great Falls,Cascade,(406) 453-2245,,https://bailbondsgreatfalls.com/,/bondsman/felony-alerts?county=cascade&source=outbound_cmbb_cascade,county_alert_trial,Use Great Falls local angle but track under one Central Montana network record,https://bailbondsgreatfalls.com/,not_contacted,Contact once for Great Falls before any other Central Montana Great Falls touch
P2,Western Pawn & Bail,western_pawn_bail,Billings,Yellowstone,(406) 245-2334,,https://westernpawnandbail.com/,/advertise/bail-bonds?source=outbound_westernpawn_yellowstone,county_sponsorship,Yellowstone county feed ownership is the cleanest pitch here,https://westernpawnandbail.com/,not_contacted,Call with county sponsorship angle
P2,Central Montana Bail Bonds,central_montana_network,Billings,Yellowstone,(406) 860-2663,,https://centralmontanabailbonds.com/locations/billings/,/advertise/bail-bonds?source=outbound_cmbb_billings,county_sponsorship,Pitch Yellowstone county exclusivity and only later discuss bundle pricing,https://centralmontanabailbonds.com/locations/billings/,not_contacted,Call Billings line and track reply under Central Montana network
P2,Big Sky Bail Bonds,big_sky_network,Kalispell,Flathead,(406) 890-2400,bailkalispell@gmail.com,https://bigskybail.com/kalispell/,/advertise/bail-bonds?source=outbound_bigsky_flathead,county_sponsorship,Flathead county sponsorship is a better first pitch than statewide inventory,https://bigskybail.com/kalispell/,not_contacted,Email and call Kalispell contact
P2,Central Montana Bail Bonds,central_montana_network,Bozeman,Gallatin,(406) 209-1099,,https://bailbondsbozeman.com/,/advertise/bail-bonds?source=outbound_cmbb_gallatin,county_sponsorship,Gallatin feed ownership is the simplest Bozeman entry offer,https://bailbondsbozeman.com/,not_contacted,Call Bozeman line only after Billings and Great Falls attempts are logged
P2,A+ Montana Bail Bonds,a_plus_montana,Statewide,Cascade;Missoula;Yellowstone;Gallatin;Flathead,(406) 370-7945,,https://www.montanabailcompany.com/,/support?source=outbound_aplus_statewide,statewide_pilot,Pitch one-county pilot first even though the brand markets statewide service,https://www.montanabailcompany.com/,not_contacted,Call and offer county pilot instead of full bundle
P3,Bad Boy Bail Bonds,bad_boy_bail_bonds,Statewide,Cascade;Yellowstone;Gallatin;Flathead,(406) 443-2665,,https://www.badboybailbonds.com/,/support?source=outbound_badboy_statewide,statewide_pilot,Statewide operator; use one county as a low-friction entry point,https://www.badboybailbonds.com/,not_contacted,Call and route interested rep to support hub after verbal hook
P3,Rocky Mountain Bail Bonds,rocky_mountain_bail_bonds,Missoula,Missoula,(406) 899-6287,,https://www.rockymountainbailbonds.com/,/bondsman/felony-alerts?county=missoula&source=outbound_rmbb_missoula,county_alert_trial,Use Missoula trial pitch first and only widen the offer if they engage,https://www.rockymountainbailbonds.com/,not_contacted,Call with short Missoula trial script
P3,Big Sky Bail Bonds,big_sky_network,Helena,Lewis and Clark,(406) 443-3767,406bail@gmail.com,https://bigskybail.com/helena/,/advertise/bail-bonds?source=outbound_bigsky_helena,county_sponsorship,Helena is a secondary county sponsorship pitch; do not double-count against Kalispell ownership until contact confirms structure,https://bigskybail.com/helena/,not_contacted,Only reach after Kalispell touch is logged
